latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.362915,25.16153,327.93,0.39,0.6,2021-03-03,1200,N,VIIRS,n,1,285.57,2.3,D,0
48.751366,24.949062,327.81,0.39,0.59,2021-03-03,1200,N,VIIRS,n,1,285.52,2.52,D,0
50.425182,33.44973,326.88,0.66,0.73,2021-03-03,2230,N,VIIRS,n,1,267.85,7.35,N,0
50.425369,33.459438,318.31,0.66,0.73,2021-03-03,2230,N,VIIRS,n,1,268.12,4.66,N,0
50.425671,33.454281,351.94,0.66,0.73,2021-03-03,2230,N,VIIRS,n,1,269.06,6.94,N,0
48.171448,37.695778,295.73,0.42,0.61,2021-03-03,2230,N,VIIRS,n,1,270.04,2.03,N,2
48.165596,37.70116,311.47,0.42,0.61,2021-03-03,2230,N,VIIRS,n,1,273.85,2.73,N,2
47.879929,33.405209,297.69,0.65,0.73,2021-03-03,2230,N,VIIRS,n,1,272.98,2.22,N,3
47.872864,33.386963,303.24,0.66,0.73,2021-03-03,2230,N,VIIRS,n,1,271.89,3.55,N,2
47.867088,35.160473,307.71,0.54,0.68,2021-03-03,2230,N,VIIRS,n,1,272.57,3.12,N,3
47.872921,33.38361,311.83,0.66,0.73,2021-03-03,2230,N,VIIRS,n,1,272.49,2.85,N,2
47.859688,33.447968,299.99,0.65,0.73,2021-03-03,2230,N,VIIRS,n,1,269.39,2.57,N,0
47.162888,37.558216,306.94,0.42,0.61,2021-03-03,2230,N,VIIRS,n,1,269.86,1.29,N,2
47.158016,37.528976,299.95,0.42,0.61,2021-03-03,2230,N,VIIRS,n,1,269.25,2.25,N,2
47.139416,37.579197,300.94,0.42,0.61,2021-03-03,2230,N,VIIRS,n,1,271.56,1.48,N,2
47.104301,37.610081,295.29,0.41,0.61,2021-03-03,2230,N,VIIRS,n,1,269.25,0.51,N,0
48.464664,38.75864,295.99,0.55,0.51,2021-03-04,0012,N,VIIRS,n,1,270.51,1.3,N,2
48.222744,38.237946,312.96,0.54,0.5,2021-03-04,0012,N,VIIRS,n,1,269.74,2.01,N,2
48.174702,37.699062,305.31,0.51,0.49,2021-03-04,0012,N,VIIRS,n,1,271.51,3.18,N,2
48.168694,37.703129,307.8,0.51,0.49,2021-03-04,0012,N,VIIRS,n,1,273.85,2.33,N,2
48.173626,37.699368,310.57,0.51,0.49,2021-03-04,0012,N,VIIRS,n,1,272.61,2.17,N,2
48.167645,37.703445,308.66,0.51,0.49,2021-03-04,0012,N,VIIRS,n,1,274.27,2.4,N,2
48.472256,34.968945,295.04,0.39,0.44,2021-03-04,0012,N,VIIRS,n,1,273.25,1.08,N,2
48.531803,34.650742,334.45,0.56,0.43,2021-03-04,0012,N,VIIRS,n,1,276.76,17.03,N,3
48.519955,34.628174,303.35,0.56,0.43,2021-03-04,0012,N,VIIRS,n,1,272.63,1.69,N,3
48.473396,34.627792,295.59,0.56,0.43,2021-03-04,0012,N,VIIRS,n,1,271.24,0.98,N,2
47.879894,35.190716,312.2,0.41,0.45,2021-03-04,0012,N,VIIRS,n,1,271.53,1.84,N,2
47.878403,35.178131,305.47,0.41,0.45,2021-03-04,0012,N,VIIRS,n,1,270.31,1.18,N,2
47.869064,35.161449,324.58,0.41,0.45,2021-03-04,0012,N,VIIRS,n,1,275.96,3.63,N,3
47.867577,35.148907,303.12,0.41,0.45,2021-03-04,0012,N,VIIRS,n,1,275.06,1.67,N,3
